,etherscan,opensea,owned,ethereums_spent,dollar_spent,ethereums_earned,dollar_earned,First_punk,Last_punk
1467,0xb5f9b2,0,1,0.0,0.0,0.0,0.0,none,none
1468,0xec959f,0,1,11.05,37806.0,14.9,50978.0,"Dec 23, 2020","Dec 23, 2020"
1469,0x953750,0,1,118.95,406971.0,80.39,275043.0,"Jul 31, 2021","Jul 31, 2021"
1470,0x074cfe,0,1,11.0,37635.0,0.0,0.0,"Feb 15, 2021","Feb 15, 2021"
1471,0x071920,0,1,53.48,182974.0,0.0,0.0,"Aug 23, 2021","Aug 23, 2021"
1472,0x6e0d9c,0,1,0.0,0.0,0.0,0.0,none,none
1473,0xc8c4ab,1,1,0.6,2053.0,0.0,0.0,"Mar 16, 2020","Mar 16, 2020"
1474,0x1bb772,0,1,26.99,92343.0,0.0,0.0,"May 4, 2021","May 4, 2021"
1475,0xef764b,1,1,175.43,600209.0,113.29,387606.0,"Aug 11, 2021","Aug 11, 2021"
1476,0xc30a20,0,1,14.99,51286.0,0.0,0.0,"May 30, 2021","May 30, 2021"
1477,0x3f072a,0,1,38.88,133022.0,0.0,0.0,"Jul 31, 2021","Jul 31, 2021"
1478,0xb2ecf0,0,1,30.0,102641.0,0.0,0.0,"Jul 31, 2021","Jul 31, 2021"
1479,0xd45c67,0,1,39.99,136820.0,0.0,0.0,"Mar 23, 2021","Mar 23, 2021"
1480,0xb6d942,0,1,0.0,0.0,0.0,0.0,"Dec 31, 2020","Dec 31, 2020"
1481,0xa9d5f8,0,1,1.2,4106.0,0.0,0.0,"Aug 26, 2020","Aug 26, 2020"
1482,0x9ccd4b,0,1,0.0,0.0,0.0,0.0,"Dec 31, 2020","Dec 31, 2020"
1483,0x89621b,0,1,0.0,0.0,0.0,0.0,"Mar 7, 2021","Mar 7, 2021"
1484,0xc6ef4a,0,1,44.72,153003.0,45.0,153961.0,"Feb 22, 2021","Feb 22, 2021"
1485,0xee7c71,0,1,0.0,0.0,145.0,496097.0,"Jul 12, 2021","Jul 12, 2021"
1486,0xfc0483,0,1,0.0,0.0,0.0,0.0,"Dec 31, 2020","Dec 31, 2020"
1487,0xe58660,0,1,35.0,119748.0,0.0,0.0,"Mar 12, 2021","Mar 12, 2021"
1488,0xfc2afe,0,1,0.0,0.0,0.0,0.0,"May 4, 2021","May 4, 2021"
1489,0xf83704,0,1,0.0,0.0,0.0,0.0,"Dec 31, 2020","Dec 31, 2020"
1490,0x13c59c,0,1,0.0,0.0,0.0,0.0,"Jul 3, 2021","Jul 3, 2021"
1491,0x3c0969,0,1,0.0,0.0,0.0,0.0,"Aug 9, 2021","Aug 9, 2021"
1492,0x31176f,0,1,52.69,180271.0,0.0,0.0,"Aug 14, 2021","Aug 14, 2021"
1493,0xd3804a,0,1,0.0,0.0,0.0,0.0,"Apr 10, 2021","Apr 10, 2021"
1494,0x0969a4,0,1,0.0,0.0,0.0,0.0,none,none
1495,0x405020,0,1,18.0,61584.0,0.0,0.0,"Jun 29, 2021","Jun 29, 2021"
1496,0x8c6e56,0,1,8.7,29766.0,0.0,0.0,"Jan 27, 2021","Jan 27, 2021"
1497,0xe0908c,0,1,21.96,75133.0,0.0,0.0,"Apr 23, 2021","Apr 23, 2021"
1498,0xd9a77b,0,1,0.37,1266.0,0.0,0.0,"Dec 16, 2019","Dec 16, 2019"
